Text	Start Time (s)	duration
satchels behind the The Flash though Zen	4740.44	5.64
couldn't get that kill but there is that	4744.64	4.841
sedak judge avoids it you saw the stun	4746.08	4.8
turning back so it's a fake to turn	4749.48	2.759
around and actually stun him to get the	4750.88	4.04
kill beautifully done by Sentinels two	4752.24	4.881
now out in the open second as across	4754.92	5.239
with his own judge opening up the Beast	4757.12	5.16
site a plant for main TS on the boxes	4760.16	4.281
looking towards to spawn there's only	4762.28	5.0
last so far as his other	4764.44	4.719
teammates feels like they're leaving him	4767.28	4.12
for dead there is still holding towards	4769.16	5.321
middle and a as T picks up the kill it's	4771.40	5.0
an absolute master class right now from	4774.48	4.4
Sentinels across these two maps looking	4776.40	4.36
they the way they took male let's just	4778.88	3.64
think about that the Trailblazer goes	4780.76	3.879
through and you think it's a vandal that	4782.52	4.04
would verse a judge but no T gets a	4784.64	3.481
guardian kill on the judge that's	4786.56	3.96
waiting that did not even get stunned	4788.12	5.599
like that is crazy the things you think	4790.52	5.6
should fall to the Wayside for Sen are	4793.72	4.52
going in their favor cuz they're all	4796.12	3.88
behind each other on these calls and	4798.24	3.92
they are making it work as a team an	4800.00	4.199
incredible team coming into the season	4802.16	4.601
important kills to save now for qck and	4804.20	5.201
gaad Zine where John CU is moving	4806.76	4.52
forward with his teammates putting the	4809.40	3.319
camera up spawning that raise and	4811.28	2.76
there's that pinch from the other side	4812.72	5.0
too at towards the ropes one to fall the	4814.04	5.48
second one stays alive so at least they	4817.72	3.201
kept the stronger weapon alive that's	4819.52	4.04
qck the dualist with the bandal	4820.92	3.92
but it's still map point though	4823.56	4.72
nonetheless for Sentinels map point with	4824.84	6.72
ice box in the mix	4828.28	7.6
next see this play once again just after	4831.56	7.079
talking about how Z is Vibe and his	4835.88	5.72
feeling it he gets a nice jumping drift	4838.64	4.761
in there into B site to open it up with	4841.60	4.16
the judge they have so many options so	4843.40	3.96
many variables I don't think we've	4845.76	4.0
really seen the same round from sen here	4847.36	4.799
on attack as they've been moving from	4849.76	5.479
that N9 three-core	4852.16	3.08
line hoping to get something done here	4855.48	5.4
with that Vandal from qck the force by	4857.72	4.801
of course coming through for loud so the	4860.88	3.4
two strongest weapons is two vandals to	4862.52	4.6
work with but it's spread thin here on	4864.28	3.6
the	4867.12	4.64
defense thin also on utility with 115	4867.88	6.04
left on the clock there's no paranoia	4871.76	5.12
only one flash left from sadak	4873.92	4.319
thankfully Kine is still there to	4876.88	3.04
support towards the a side with his own	4878.24	3.92
flashes and breach utility so all	4879.92	3.4
they're trying to right now on the	4882.16	3.361
inside is trying to delay with that util	4883.32	3.6
go for the crossfire set up on the top	4885.52	2.119
of	4886.92	3.759
mid it makes sense I mean use your fault	4887.64	4.321
line to get it back create an	4890.68	2.681
opportunity with it the first time they	4891.96	3.759
try to get a quick peek towards mid so	4893.36	4.52
Cowen Zen relying on that to be back and	4895.72	3.841
probably timing it just right that	4897.88	3.56
they'll have this a hold as they get	4899.56	3.88
over to the right side of the map it is	4901.44	3.6
going to be the lurk from Sassi this	4903.44	4.04
vent lurk again we keep seeing in the 14	4905.04	5.679
and it becomes such a big Kingpin for	4907.48	7.12
the round sassy fakes towards B main	4910.72	5.52
Seekers are out and they're going to	4914.60	3.72
start moving here 30 seconds left there	4916.24	5.0
it is oh absolutely ridiculous they're	4918.32	5.44
So Far Behind Enemy Lines loud doesn't	4921.24	4.601
even know just because of that pick that	4923.76	3.879
allows that pick to happen for a second	4925.84	4.28
on the as one was falling back now	4927.64	4.6
players are falling down towards the a	4930.12	5.28
side Cen alone Guardian cannot hold	4932.24	5.361
cannot hold the doors 10 seconds left	4935.40	5.36
there only one left two East B sight	4937.60	5.32
Guardian as well no flash as we	4940.76	4.6
mentioned Sentinels a full roster on the	4942.92	5.16
post plant it's looking like a done deal	4945.36	5.04
he's even walking the whole time they	4948.08	5.92
respected SEL so much on these lurks on	4950.40	6.839
these off these pul	4954.00	3.239
plants just going to probably look	4957.72	6.041
to Pat some stats up here there's that	4960.64	4.361
first	4963.76	4.84
one 10 low	4965.00	3.6
HP and there is that swing out finally	4969.32	8.16
getting the last pick sendal are one map	4973.00	7.679
away of winning the kickoff here in	4977.48	5.199
Americas some power they're looking to	4980.68	4.52
clear people in two shots so you expect	4982.68	5.921
those sheriffs to stay close hip to	4985.20	5.52
hip push up towards B they're going to	4988.60	4.24
get tens off of the site right	4990.72	4.96
away it's not only Sheriff but also a	4992.84	4.68
lot of ghosts	4995.68	3.881
now basically it's going to become a	4997.52	5.08
brawl oh he stays fundamentals and trade	4999.56	6.079
stay over all of them are bled t with	5002.60	6.079
three kills in the round last one to go	5005.64	5.52
finally denied by twois but he's all	5008.68	5.96
alone and second again the twinsies come	5011.16	5.761
out to work and the last thing loud	5014.64	4.08
wanted to see is a pistol round like	5016.92	3.64
that on map three from	5018.72	5.681
Sentinels absolutely incredible Outlaw	5020.56	8.24
coming in as well holy crap if tens felt	5024.40	6.279
like he was online in the other games	5028.80	4.56
this one just got turned turn on line as	5030.68	4.881
well how does he find these timings	5033.36	4.879
remember the last time with an op in the	5035.56	5.119
Smoke getting some kills on split shorty	5038.24	4.121
coming through this time getting a	5040.68	3.601
perfect timing for this flash to Blind	5042.36	4.08
everybody down on Lou side and get a	5044.28	3.64
three piece of his	5046.44	3.96
own he's going to be a force to be	5047.92	4.16
reckoned with right now on this	5050.40	4.0
map loud trying to change the pace	5052.08	4.88
aggressive now towards the aide sassy	5054.40	5.04
Falls quick pipe shot you see both of	5056.96	4.6
the walls over towards B quickly going	5059.44	3.84
up they're going to hit towards a so	5061.56	3.88
they try to draw attention and qck is	5063.28	3.52
going to pick another one up as second	5065.44	3.799
answers back yeah but then we have that	5066.80	4.439
ads from kaen picking up the Bulldog	5069.24	4.361
that was left behind Z and Falls so the	5071.24	4.201
outlaw will not be able to get picked up	5073.60	4.48
yet to allow these Pawn shots to happen	5075.44	4.679
you definitely do see L here one shot AV	5078.08	3.76
anything here with the outlaw or also	5080.12	3.841
just spamming with these rifles the	5081.84	6.52
submachine guns the Spectre to get the	5083.96	6.96
kill but after that first initial push	5088.36	5.319
coming out from John cue L seems to be	5090.92	4.199
in a very good position to hold this	5093.68	3.48
post	5095.12	6.12
plant slow push in back control the site	5097.16	5.361
they just trade whatever they're	5101.24	3.801
defending right now so loud can fire all	5102.52	5.159
the way in okay nice shot pushing	5105.04	4.599
forward to two versus one it's up to	5107.68	3.801
twois alone once again and that wall is	5109.64	3.08
going to be annoyed deal he gets the	5111.48	3.36
first kill s is trying to stick it but	5112.72	4.44
two is gets the pick the r b clutcher	5114.84	4.52
tie up the game early on ice box and	5117.16	5.681
Loud Comes Alive much earlier in this	5119.36	5.6
game it has to feel good for them to	5122.84	4.44
find ground right now the first two maps	5124.96	6.36
went 40 5 before loud answered back not	5127.28	4.839
this	5131.32	2.839
time we're going to see him a little bit	5132.12	3.801
more hungry here as we get into round	5134.16	4.601
three after this replay loud feeling	5135.92	7.0
good after the second round by to win	5138.76	6.84
after losing	5142.92	2.68
pistol still Smiles still vibing can	5146.40	6.96
never count loud out Cascade for forward	5149.80	5.28
still working this wall on to B but now	5153.36	3.279
they have Harbor's wall to take towards	5155.08	3.76
a as qck another first kill of the round	5156.64	4.401
time for SEL to push out quick and that	5158.84	5.0
Cask was annoying to deal with at least	5161.04	3.92
they got the kill out of that for	5163.84	2.799
Sentinels with the low bu that they have	5164.96	5.759
whole Classics actually just utility	5166.64	6.401
yeah really the plan was trying to get	5170.72	4.601
tens with orb a death allows for him to	5173.04	4.96
get the KO alt in the next round for	5175.32	5.04
loud it's a reset using utility now to	5178.00	5.08
clear towards the a site he throwing up	5180.36	4.56
a swing through the Viper wall beautiful	5183.08	4.4
Kill from c z Onin and once again	5184.92	5.16
nullifying the surprise attacks that SEL	5187.48	5.08
are trying to do little bit of Pop shots	5190.08	5.68
andly two gets the pick up the El's this	5192.56	5.36
lucking clean right now for loud's	5195.76	4.12
conversion off the Thrifty that they	5197.92	6.239
just got on round number two clean cut	5199.88	7.52
clear they take a sight they take down	5204.16	4.681
Sentinels for another round like you	5207.40	3.6
said Sentinels buying Classics seeing	5208.84	4.319
that a lot more from Team teams able to	5211.00	4.36
fill up the utility and it actually	5213.16	3.761
feels good because if you do go down	5215.36	3.24
with your classic you have utility	5216.92	4.12
coming into this round now so just get	5218.60	4.0
the dip into the pocket a little bit and	5221.04	2.92
you already have what you need to be	5222.60	3.32
throwing at your	5223.96	4.84
opponent utility and weapons for sure	5225.92	4.4
right right operator's going to be	5228.80	3.439
coming online here as we see Zack	5230.32	4.76
spending a little bit more still quite a	5232.24	5.841
few away from the ultimate on orbs so	5235.08	4.92
this op hopefully coming into play for	5238.08	4.72
them let see once loud figures out that	5240.00	4.639
might change their tune coming into this	5242.80	3.879
round but they are going to go for this	5244.64	4.441
pressure quickly on to Long be here D	5246.68	4.96
Miss so it allows John potentially get a	5249.08	4.559
surprise attack but just saw that jiggle	5251.64	4.841
peek out m l falls back in instantly one	5253.64	4.6
of those plays that L likes to do here	5256.48	4.679
is go aggressive instantly stop and try	5258.24	5.0
to Reit right after get into timing out	5261.16	4.681
for the defensive side alen drone gets	5263.24	4.361
denied not too much information but at	5265.84	3.16
least a reckoning comes out to clear out	5267.60	3.119
the site there's still players outside	5269.00	3.199
the perimeter though of this Reckoning	5270.72	4.041
on Cal side KO Al that we talked about	5272.20	4.96
before T has now activated it flash	5274.76	4.12
being thrown T falls down becomes a	5277.16	4.04
